,total sequestration (ton/yr),inside country (ton/yr),allocated from global public (ton/yr),population,pct,allocated ,add up ,World public S (ton/yr),,world population 
Argentina,1.637E+08,1.067E+08,5.698E+07,44400000,0.58%,5.70E+07,1.64E+08,9.790E+09,,7628592451
Australia,2.068E+08,1.749E+08,3.195E+07,24900000,0.33%,3.20E+07,2.07E+08,,,
Belgium,1.790E+07,3.145E+06,1.476E+07,11500000,0.15%,1.48E+07,1.79E+07,,,
Brazil,4.585E+08,1.890E+08,2.695E+08,210000000,2.75%,2.69E+08,4.58E+08,,,
Canada,1.002E+09,9.547E+08,4.761E+07,37100000,0.49%,4.76E+07,1.00E+09,,,
Chile,2.577E+08,2.337E+08,2.400E+07,18700000,0.25%,2.40E+07,2.58E+08,,,
China,2.363E+09,5.274E+08,1.835E+09,1430000000,18.75%,1.84E+09,2.36E+09,,,
Cuba,3.130E+07,1.680E+07,1.450E+07,11300000,0.15%,1.45E+07,3.13E+07,,,
Democratic Republic of the Congo,1.436E+08,3.564E+07,1.079E+08,84100000,1.10%,1.08E+08,1.44E+08,,,
Gabon,7.012E+07,6.740E+07,2.721E+06,2120000,0.03%,2.72E+06,7.01E+07,,,
Germany,1.823E+08,7.563E+07,1.066E+08,83100000,1.09%,1.07E+08,1.82E+08,,,
Ghana,5.179E+07,1.560E+07,3.619E+07,28200000,0.37%,3.62E+07,5.18E+07,,,
Hungary,2.039E+07,7.932E+06,1.246E+07,9710000,0.13%,1.25E+07,2.04E+07,,,
India,1.800E+09,6.722E+07,1.732E+09,1350000000,17.70%,1.73E+09,1.80E+09,,,
Indonesia,4.022E+07,-3.037E+08,3.439E+08,268000000,3.51%,3.44E+08,4.02E+07,,,
Ivory Coast,5.625E+07,2.404E+07,3.221E+07,25100000,0.33%,3.22E+07,5.62E+07,,,
Japan,3.168E+08,1.538E+08,1.630E+08,127000000,1.66%,1.63E+08,3.17E+08,,,
Madagascar,3.359E+06,-3.039E+07,3.375E+07,26300000,0.34%,3.38E+07,3.36E+06,,,
Malaysia,-8.626E+07,-1.267E+08,4.042E+07,31500000,0.41%,4.04E+07,-8.63E+07,,,
Morocco,4.736E+07,1.161E+06,4.620E+07,36000000,0.47%,4.62E+07,4.74E+07,,,
Mozambique,5.854E+07,2.068E+07,3.786E+07,29500000,0.39%,3.79E+07,5.85E+07,,,
Netherlands,2.583E+07,3.881E+06,2.194E+07,17100000,0.22%,2.19E+07,2.58E+07,,,
North Korea,6.845E+07,3.560E+07,3.285E+07,25600000,0.34%,3.29E+07,6.85E+07,,,
Norway,5.006E+07,4.321E+07,6.853E+06,5340000,0.07%,6.85E+06,5.01E+07,,,
Papua New Guinea,5.601E+07,4.496E+07,1.105E+07,8610000,0.11%,1.10E+07,5.60E+07,,,
Philippines,1.959E+08,5.859E+07,1.373E+08,107000000,1.40%,1.37E+08,1.96E+08,,,
Poland,1.114E+08,6.273E+07,4.864E+07,37900000,0.50%,4.86E+07,1.11E+08,,,
Portugal,1.091E+07,-2.307E+06,1.322E+07,10300000,0.14%,1.32E+07,1.09E+07,,,
Russia,1.945E+09,1.757E+09,1.874E+08,146000000,1.91%,1.87E+08,1.94E+09,,,
South Africa,6.943E+07,-4.748E+06,7.418E+07,57800000,0.76%,7.42E+07,6.94E+07,,,
South Korea,9.844E+07,3.273E+07,6.571E+07,51200000,0.67%,6.57E+07,9.84E+07,,,
Sri Lanka,3.804E+07,1.084E+07,2.721E+07,21200000,0.28%,2.72E+07,3.80E+07,,,
Ukraine,1.278E+08,7.094E+07,5.685E+07,44300000,0.58%,5.69E+07,1.28E+08,,,
United States,1.135E+09,7.150E+08,4.196E+08,327000000,4.29%,4.20E+08,1.13E+09,,,
Vietnam,1.298E+08,7.103E+06,1.227E+08,95600000,1.25%,1.23E+08,1.30E+08,,,
Zimbabwe,1.929E+07,8.101E+05,1.848E+07,14400000,0.19%,1.85E+07,1.93E+07,,,
